village,state,district,date,report_time,patient_age_group,patient_gender,diarrhea_cases,fever_cases,vomiting_cases,stomach_pain_cases,dehydration_cases,nausea_cases,headache_cases,weakness_cases,asha_worker_id,clinic_reports,villager_self_reports,total_population,households_affected,severity_level
Dharmanagar Rural,Tripura,Tripura_District_1,2023-04-20,2023-04-13 11:33:00,19-60,Male,4,5,1,2,2,2,3,2,ASHA_7777,4,2,3838,27,Moderate
Senapati Rural,Manipur,Manipur_District_1,2023-03-06,2023-02-15 07:53:00,0-5,Male,2,4,0,2,1,0,3,2,ASHA_3648,0,4,770,16,Mild
Wokha Rural,Nagaland,Nagaland_District_1,2023-08-27,2023-05-06 14:09:00,60+,Female,4,1,4,1,1,0,0,1,ASHA_1990,0,5,1451,26,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-17,2023-10-31 16:38:00,6-18,Female,0,4,0,0,1,1,1,1,ASHA_3860,4,5,3257,21,Mild
Hnahthial Village,Mizoram,Mizoram_District_1,2024-02-11,2023-12-03 09:14:00,19-60,Female,0,5,3,2,1,0,2,2,ASHA_5645,2,3,1496,20,Mild
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-07-27,2023-07-20 06:52:00,6-18,Female,5,6,4,3,1,0,3,3,ASHA_6022,2,7,650,29,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-11-13,2023-10-31 16:38:00,6-18,Female,0,3,7,0,1,1,1,1,ASHA_3860,4,5,3257,28,Mild
Dibrugarh Rural,Assam,Assam_District_3,2023-03-10,2023-01-20 16:08:00,6-18,Female,2,2,5,2,3,1,2,2,ASHA_4676,0,0,2717,26,Moderate
Mangan Village,Sikkim,Sikkim_District_3,2023-07-24,2023-04-29 15:32:00,6-18,Female,0,3,5,2,1,1,2,0,ASHA_8050,4,7,1823,16,Mild
Jiribam Village,Manipur,Manipur_District_2,2023-04-15,2023-01-13 12:32:00,19-60,Male,5,6,8,1,2,1,2,2,ASHA_7256,3,2,1826,34,Moderate
Jowai Rural,Meghalaya,Meghalaya_District_1,2024-03-18,2023-12-02 19:32:00,60+,Male,7,1,0,5,3,1,2,2,ASHA_6781,3,5,2432,19,Moderate
Phek Rural,Nagaland,Nagaland_District_2,2023-09-16,2023-08-23 10:07:00,6-18,Male,7,1,2,5,4,2,0,3,ASHA_7830,2,7,863,16,Mild
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-02-20,2023-01-26 09:22:00,6-18,Male,4,0,6,2,3,2,1,1,ASHA_4866,2,0,4678,19,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-12-10,2023-10-06 12:36:00,6-18,Male,8,7,2,4,3,0,4,4,ASHA_5046,4,2,2693,36,Moderate
Mokokchung Rural,Nagaland,Nagaland_District_3,2023-09-07,2023-07-03 10:16:00,0-5,Female,6,1,6,5,4,2,0,3,ASHA_3158,1,7,2084,32,Mild
Amarpur Village,Tripura,Tripura_District_3,2023-11-18,2023-11-13 16:53:00,60+,Male,7,2,4,2,3,2,1,2,ASHA_4450,1,3,1459,29,Moderate
Ukhrul Village,Manipur,Manipur_District_3,2023-04-24,2023-03-01 19:36:00,19-60,Male,6,6,5,1,1,2,2,1,ASHA_3228,0,5,1449,36,Mild
Khowai Village,Tripura,Tripura_District_3,2023-06-27,2023-03-12 09:54:00,6-18,Male,5,1,2,6,4,0,3,4,ASHA_3894,4,1,4739,21,Moderate
Saitual Rural,Mizoram,Mizoram_District_3,2023-02-06,2023-01-17 09:12:00,19-60,Male,2,5,1,0,1,1,3,1,ASHA_7516,4,5,1143,24,Mild
Agartala Rural,Tripura,Tripura_District_3,2024-03-25,2023-12-18 07:52:00,0-5,Male,3,8,1,4,2,1,2,2,ASHA_8840,4,1,2142,18,Moderate
Tuensang Village,Nagaland,Nagaland_District_1,2023-06-03,2023-04-10 19:47:00,19-60,Female,6,6,3,6,3,0,3,4,ASHA_5245,0,2,4930,23,Mild
Pakyong Village,Sikkim,Sikkim_District_2,2023-11-09,2023-09-07 12:01:00,0-5,Female,2,10,9,1,6,7,5,5,ASHA_1930,1,5,3650,27,Mild
Phek Rural,Nagaland,Nagaland_District_3,2023-10-27,2023-08-11 06:40:00,0-5,Female,3,9,6,1,1,2,6,4,ASHA_6679,4,7,2734,37,Mild
Amarpur Village,Tripura,Tripura_District_2,2023-04-28,2023-02-03 15:31:00,19-60,Female,3,2,2,2,1,0,2,2,ASHA_5150,1,1,1881,20,Mild
Pakyong Village,Sikkim,Sikkim_District_3,2023-12-30,2023-10-15 14:28:00,0-5,Male,2,3,3,5,1,0,1,2,ASHA_2756,4,1,2026,26,Moderate
Namchi Village,Sikkim,Sikkim_District_3,2023-04-14,2023-04-01 16:19:00,6-18,Female,2,1,0,1,1,0,1,1,ASHA_8126,4,3,2209,13,Mild
Agartala Rural,Tripura,Tripura_District_1,2023-04-08,2023-03-03 14:52:00,6-18,Female,8,4,0,4,4,1,4,4,ASHA_3056,2,2,4091,22,Moderate
Baghmara Rural,Meghalaya,Meghalaya_District_2,2023-04-19,2023-01-08 08:10:00,6-18,Male,0,5,2,0,1,0,2,2,ASHA_8813,1,4,1015,21,Mild
Baghmara Rural,Meghalaya,Meghalaya_District_1,2023-06-22,2023-06-17 16:36:00,6-18,Female,4,1,11,5,6,3,2,3,ASHA_4043,4,4,1924,29,Mild
Ukhrul Village,Manipur,Manipur_District_2,2023-07-19,2023-04-24 18:20:00,0-5,Female,13,3,8,4,5,2,0,3,ASHA_6110,3,7,2928,33,Mild
Wokha Rural,Nagaland,Nagaland_District_3,2024-02-14,2023-12-14 09:42:00,19-60,Female,2,5,4,1,3,2,3,3,ASHA_7791,3,5,762,20,Mild
Tuensang Village,Nagaland,Nagaland_District_3,2023-09-02,2023-08-18 07:21:00,6-18,Male,12,4,9,9,9,6,2,7,ASHA_6110,4,1,2765,37,Moderate
Ukhrul Village,Manipur,Manipur_District_2,2023-07-25,2023-07-10 07:20:00,19-60,Male,4,11,9,4,6,5,8,7,ASHA_3751,3,1,2974,29,Moderate
Tezpur Rural,Assam,Assam_District_1,2023-10-28,2023-07-03 13:26:00,6-18,Female,10,1,3,5,6,3,2,3,ASHA_1768,3,7,4058,21,Mild
Lunglei Village,Mizoram,Mizoram_District_2,2023-07-24,2023-07-20 07:23:00,19-60,Female,18,7,9,8,8,3,1,6,ASHA_8973,2,5,1000,38,Moderate
Senapati Rural,Manipur,Manipur_District_1,2023-07-11,2023-07-08 14:27:00,19-60,Female,12,9,1,7,4,1,4,7,ASHA_5445,1,7,3025,28,Mild
Phek Rural,Nagaland,Nagaland_District_2,2023-06-10,2023-06-08 08:42:00,6-18,Female,2,13,3,3,3,3,10,9,ASHA_6700,4,2,4474,25,Mild
Dimapur Village,Nagaland,Nagaland_District_2,2023-10-20,2023-08-06 15:25:00,0-5,Female,1,10,7,3,3,3,4,4,ASHA_1669,2,5,2021,23,Mild
Williamnagar Village,Meghalaya,Meghalaya_District_3,2024-03-10,2023-11-20 16:01:00,19-60,Female,3,3,5,1,1,0,1,1,ASHA_7195,0,2,3203,15,Mild
Mangan Village,Sikkim,Sikkim_District_2,2023-02-19,2023-01-29 19:42:00,6-18,Male,0,3,1,0,0,1,2,1,ASHA_5603,2,0,2164,21,Mild
Dimapur Village,Nagaland,Nagaland_District_2,2023-07-08,2023-04-04 18:24:00,6-18,Female,0,1,0,0,0,0,1,1,ASHA_5053,4,2,3927,7,Mild
Lunglei Village,Mizoram,Mizoram_District_1,2023-05-05,2023-02-08 09:11:00,0-5,Male,5,7,3,2,1,0,2,2,ASHA_5491,3,5,1681,27,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-07-09,2023-06-11 16:33:00,0-5,Male,15,2,0,10,8,1,1,7,ASHA_4058,0,6,3092,22,Mild
Tuensang Village,Nagaland,Nagaland_District_3,2023-04-02,2023-03-24 16:59:00,60+,Male,6,4,4,1,3,4,0,1,ASHA_7348,4,2,3127,33,Mild
Khowai Village,Tripura,Tripura_District_1,2024-02-15,2023-12-18 17:17:00,19-60,Male,9,6,7,4,4,3,2,4,ASHA_4205,3,4,2084,29,Mild
Guwahati Rural,Assam,Assam_District_3,2023-05-05,2023-04-25 07:28:00,0-5,Female,1,2,4,2,1,1,0,0,ASHA_7732,4,7,3619,22,Moderate
Aizawl Rural,Mizoram,Mizoram_District_1,2023-04-28,2023-04-14 11:24:00,6-18,Male,5,6,6,4,2,1,0,1,ASHA_3590,3,0,4897,31,Mild
Aizawl Rural,Mizoram,Mizoram_District_1,2023-12-02,2023-10-07 16:37:00,0-5,Female,2,5,3,3,2,0,1,2,ASHA_8024,4,5,2459,26,Mild
Silchar Village,Assam,Assam_District_3,2023-09-03,2023-05-28 14:07:00,6-18,Female,3,1,8,1,1,1,1,1,ASHA_6433,3,2,1112,26,Mild
Senapati Rural,Manipur,Manipur_District_3,2024-01-12,2023-09-15 16:09:00,0-5,Female,4,7,0,6,2,1,2,4,ASHA_3534,2,2,3216,23,Mild
Jiribam Village,Manipur,Manipur_District_2,2023-05-08,2023-02-22 08:38:00,0-5,Female,2,1,2,1,1,0,1,1,ASHA_4718,1,1,4479,21,Mild
Namchi Village,Sikkim,Sikkim_District_1,2023-12-29,2023-11-26 19:31:00,0-5,Male,2,5,0,1,0,0,3,2,ASHA_7845,1,6,2285,24,Moderate
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-12-24,2023-11-14 19:03:00,60+,Female,4,0,3,2,1,0,1,2,ASHA_4109,4,0,4570,17,Moderate
Champhai Rural,Mizoram,Mizoram_District_1,2023-08-20,2023-06-08 13:29:00,0-5,Female,7,4,3,5,4,1,2,5,ASHA_4164,3,3,2341,33,Mild
Roing Village,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-05-05,2023-04-14 19:35:00,19-60,Male,4,4,6,1,1,1,1,1,ASHA_9561,1,0,4555,33,Severe
Jiribam Village,Manipur,Manipur_District_1,2024-02-08,2023-12-08 11:44:00,19-60,Male,3,4,0,6,1,0,1,2,ASHA_7628,4,7,4207,22,Severe
Shillong Rural,Meghalaya,Meghalaya_District_2,2023-10-06,2023-07-06 07:22:00,0-5,Female,18,4,4,9,7,1,6,9,ASHA_9018,1,4,859,44,Moderate
Jorethang Rural,Sikkim,Sikkim_District_3,2024-02-20,2023-11-11 08:00:00,6-18,Male,4,5,3,6,3,1,5,4,ASHA_8382,2,1,1986,17,Moderate
Thoubal Village,Manipur,Manipur_District_3,2023-02-01,2023-01-24 15:45:00,60+,Male,7,1,4,3,2,1,0,1,ASHA_9185,0,1,2617,24,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-05-02,2023-03-28 11:07:00,19-60,Male,0,6,4,1,1,2,1,1,ASHA_3106,1,0,2323,24,Mild
Tuensang Village,Nagaland,Nagaland_District_1,2023-08-05,2023-07-05 19:00:00,0-5,Female,11,5,6,7,7,3,3,6,ASHA_1759,2,2,4272,40,Moderate
Shillong Rural,Meghalaya,Meghalaya_District_2,2024-02-04,2023-11-29 12:46:00,0-5,Female,1,4,2,0,0,0,4,2,ASHA_9135,4,7,948,12,Mild
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-11-06,2023-10-14 07:50:00,6-18,Male,4,4,1,3,1,0,1,2,ASHA_1629,3,0,3626,25,Mild
Ukhrul Village,Manipur,Manipur_District_2,2023-08-16,2023-04-24 18:20:00,0-5,Female,9,0,3,4,5,2,0,3,ASHA_6110,3,7,2928,17,Mild
Tura Village,Meghalaya,Meghalaya_District_2,2023-12-28,2023-09-09 14:27:00,19-60,Male,12,11,3,5,4,1,6,6,ASHA_1447,2,2,4212,35,Mild
Mokokchung Rural,Nagaland,Nagaland_District_1,2023-04-16,2023-03-07 08:40:00,6-18,Female,10,1,4,4,7,6,1,3,ASHA_3633,3,0,4582,30,Severe
Dharmanagar Rural,Tripura,Tripura_District_3,2023-05-28,2023-04-09 10:13:00,6-18,Male,4,5,5,3,3,1,3,3,ASHA_2828,1,0,4618,22,Moderate
Pakyong Village,Sikkim,Sikkim_District_1,2023-03-23,2023-01-29 11:10:00,6-18,Male,2,4,0,1,0,0,1,1,ASHA_9488,2,5,3381,23,Mild
Gangtok Rural,Sikkim,Sikkim_District_2,2023-03-06,2023-02-28 12:39:00,0-5,Male,5,3,2,5,3,0,3,3,ASHA_4759,1,3,3614,28,Mild
Namchi Village,Sikkim,Sikkim_District_1,2023-06-23,2023-03-09 12:06:00,19-60,Male,4,2,4,3,3,0,2,3,ASHA_9789,3,6,4126,16,Moderate
Jorethang Rural,Sikkim,Sikkim_District_2,2023-07-01,2023-03-30 09:44:00,6-18,Female,0,3,3,0,0,0,1,1,ASHA_7030,0,4,532,14,Mild
Saitual Rural,Mizoram,Mizoram_District_2,2023-04-09,2023-02-28 15:13:00,6-18,Female,1,1,0,2,0,0,2,1,ASHA_1324,4,7,4188,7,Mild
Naharlagun Village,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-08-13,2023-06-08 07:55:00,6-18,Male,9,4,9,5,7,5,4,5,ASHA_2022,3,1,1768,37,Moderate
Thoubal Village,Manipur,Manipur_District_1,2024-01-14,2023-11-29 13:11:00,19-60,Female,0,5,2,4,1,0,1,2,ASHA_9652,2,4,795,25,Mild
Kohima Rural,Nagaland,Nagaland_District_3,2023-02-05,2023-01-08 07:27:00,19-60,Female,2,5,2,2,1,1,4,2,ASHA_6352,2,7,1540,22,Mild
Nagaon Rural,Assam,Assam_District_2,2023-11-18,2023-10-12 07:47:00,6-18,Female,8,0,5,2,2,1,1,1,ASHA_3602,4,4,4711,19,Severe
Bishnupur Rural,Manipur,Manipur_District_3,2023-03-27,2023-03-14 12:19:00,6-18,Female,5,0,2,0,1,2,1,0,ASHA_5849,0,3,4803,13,Severe
Dharmanagar Rural,Tripura,Tripura_District_3,2023-07-21,2023-04-15 16:51:00,0-5,Female,6,4,1,6,4,3,2,4,ASHA_7467,2,2,2183,15,Mild
Ukhrul Village,Manipur,Manipur_District_3,2023-12-23,2023-10-06 16:28:00,0-5,Male,1,6,3,2,1,0,0,1,ASHA_5100,3,3,1340,21,Mild
Ziro Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2024-01-29,2023-10-10 08:38:00,19-60,Female,6,6,1,2,2,0,1,2,ASHA_2043,4,3,4670,28,Mild
Tamenglong Rural,Manipur,Manipur_District_2,2023-05-05,2023-05-04 10:30:00,0-5,Female,0,3,1,3,3,5,2,2,ASHA_6403,4,7,620,10,Mild
Namchi Village,Sikkim,Sikkim_District_2,2023-12-15,2023-09-30 15:36:00,6-18,Male,6,4,3,1,2,3,3,2,ASHA_9120,1,3,2275,30,Mild
Lawngtlai Village,Mizoram,Mizoram_District_3,2023-03-13,2023-01-05 09:55:00,19-60,Male,9,0,7,6,6,3,0,4,ASHA_7359,3,4,4725,24,Moderate
Teliamura Rural,Tripura,Tripura_District_3,2023-11-14,2023-08-31 10:27:00,6-18,Male,9,2,5,5,6,5,2,3,ASHA_5628,1,3,3538,28,Moderate
Ukhrul Village,Manipur,Manipur_District_2,2023-10-18,2023-06-22 16:58:00,19-60,Male,0,6,10,1,3,3,5,3,ASHA_6208,1,3,4382,30,Mild
Hnahthial Village,Mizoram,Mizoram_District_3,2023-12-07,2023-10-21 07:09:00,0-5,Female,8,3,2,3,3,2,2,2,ASHA_6811,0,0,3363,25,Mild
Kiphire Village,Nagaland,Nagaland_District_2,2023-11-08,2023-10-22 16:28:00,0-5,Female,3,2,2,2,1,0,1,1,ASHA_4842,0,0,4616,18,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_1,2023-02-22,2023-02-20 14:49:00,0-5,Male,3,3,1,3,2,2,2,1,ASHA_5027,3,5,2441,16,Mild
Mangan Village,Sikkim,Sikkim_District_1,2023-11-14,2023-09-16 06:27:00,19-60,Male,9,3,5,9,8,5,1,6,ASHA_3398,2,4,3592,27,Severe
Tezpur Village,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-12-23,2023-12-02 07:29:00,0-5,Female,4,4,3,2,2,1,6,2,ASHA_2449,4,6,1009,18,Mild
Namchi Village,Sikkim,Sikkim_District_1,2023-03-11,2023-02-22 16:51:00,6-18,Female,7,1,1,4,4,2,2,2,ASHA_2421,0,4,4752,17,Mild
Hnahthial Village,Mizoram,Mizoram_District_2,2023-06-17,2023-05-30 18:07:00,0-5,Male,7,0,10,3,3,2,1,1,ASHA_4131,0,6,3060,33,Mild
Baghmara Rural,Meghalaya,Meghalaya_District_1,2023-10-02,2023-08-30 13:22:00,6-18,Female,3,7,8,0,3,5,3,2,ASHA_8589,3,2,841,36,Moderate
Nagaon Rural,Assam,Assam_District_3,2023-04-09,2023-03-26 10:34:00,6-18,Female,1,3,0,1,0,1,1,1,ASHA_2570,3,0,2127,21,Mild
Udaipur Village,Tripura,Tripura_District_1,2023-03-28,2023-01-29 07:24:00,6-18,Female,2,2,6,6,3,2,2,2,ASHA_5588,2,1,3433,19,Mild
Jiribam Village,Manipur,Manipur_District_3,2023-12-19,2023-10-02 07:31:00,6-18,Male,0,2,6,3,1,1,3,2,ASHA_3166,4,0,1899,17,Mild
Jorhat Village,Assam,Assam_District_1,2023-08-02,2023-06-28 06:46:00,19-60,Male,17,0,6,9,7,1,1,5,ASHA_2143,4,4,4615,27,Mild
Amarpur Village,Tripura,Tripura_District_3,2023-11-13,2023-10-27 16:35:00,60+,Male,1,4,1,0,1,1,1,1,ASHA_1387,1,7,4753,14,Severe
Itanagar Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-06-26,2023-04-18 07:39:00,6-18,Female,5,5,1,2,0,0,0,1,ASHA_5754,2,6,1089,24,Mild
Champhai Rural,Mizoram,Mizoram_District_2,2023-05-27,2023-05-16 11:42:00,6-18,Male,5,4,0,3,3,4,3,2,ASHA_9152,3,3,2772,17,Mild
Tezpur Rural,Assam,Assam_District_1,2023-05-16,2023-02-17 06:55:00,6-18,Female,2,2,3,1,0,4,1,1,ASHA_4041,3,1,2131,22,Mild
Khliehriat Village,Meghalaya,Meghalaya_District_1,2023-05-27,2023-04-11 08:54:00,19-60,Male,7,3,0,5,3,0,0,3,ASHA_8433,3,3,3933,14,Mild
Wokha Rural,Nagaland,Nagaland_District_2,2023-09-07,2023-07-20 09:55:00,19-60,Female,2,1,11,1,6,9,5,1,ASHA_5780,0,7,4525,24,Mild
Kiphire Village,Nagaland,Nagaland_District_3,2023-05-20,2023-04-20 17:37:00,60+,Male,4,5,3,3,3,1,0,2,ASHA_1168,4,7,2949,20,Mild
Guwahati Rural,Assam,Assam_District_3,2023-10-30,2023-09-26 13:42:00,0-5,Female,3,12,7,3,3,3,6,5,ASHA_7090,1,2,3304,33,Mild
Mangan Village,Sikkim,Sikkim_District_1,2023-02-22,2023-02-04 08:30:00,0-5,Male,5,1,5,1,3,5,0,1,ASHA_9501,0,3,2267,15,Mild
Barpeta Village,Assam,Assam_District_1,2024-01-21,2023-11-15 18:24:00,0-5,Female,4,3,4,3,1,0,1,2,ASHA_7048,2,0,645,21,Mild
Resubelpara Rural,Meghalaya,Meghalaya_District_1,2023-12-15,2023-11-27 10:33:00,6-18,Male,2,1,4,1,1,2,1,1,ASHA_9469,0,0,2597,23,Mild
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_3,2023-04-14,2023-01-23 06:00:00,19-60,Female,5,6,3,4,1,0,1,2,ASHA_3979,1,2,4704,31,Moderate
Belonia Rural,Tripura,Tripura_District_2,2023-08-13,2023-07-13 09:36:00,19-60,Male,6,1,4,5,4,4,0,2,ASHA_9571,1,3,3584,19,Mild
Bishnupur Rural,Manipur,Manipur_District_3,2023-08-25,2023-06-18 18:42:00,0-5,Female,6,5,6,3,3,3,4,4,ASHA_6210,4,7,834,27,Mild
Nongpoh Village,Meghalaya,Meghalaya_District_1,2024-01-28,2023-11-25 12:48:00,0-5,Female,1,2,1,1,1,1,2,0,ASHA_3782,2,5,3363,19,Severe
Pasighat Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2024-03-02,2023-12-17 13:24:00,6-18,Female,5,3,6,6,3,1,2,4,ASHA_1813,4,3,3269,25,Mild
Serchhip Village,Mizoram,Mizoram_District_3,2023-11-27,2023-08-28 10:40:00,19-60,Male,13,12,11,7,6,3,5,7,ASHA_3744,4,1,1399,48,Severe
Jowai Rural,Meghalaya,Meghalaya_District_1,2023-03-25,2023-01-17 06:35:00,19-60,Male,8,3,5,3,3,1,0,2,ASHA_2461,0,0,4713,25,Mild
Lunglei Village,Mizoram,Mizoram_District_3,2023-08-01,2023-04-21 15:36:00,6-18,Female,8,0,9,4,4,3,1,2,ASHA_7227,4,6,2309,34,Mild
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-02-07,2023-01-07 17:50:00,60+,Male,4,5,0,2,1,0,2,3,ASHA_5203,4,3,4590,23,Mild
Tuensang Village,Nagaland,Nagaland_District_3,2023-12-15,2023-09-16 09:52:00,0-5,Female,7,8,1,4,3,0,5,6,ASHA_3661,0,6,4655,35,Moderate
Gangtok Rural,Sikkim,Sikkim_District_3,2023-12-12,2023-11-01 13:10:00,19-60,Male,7,2,3,2,1,0,1,2,ASHA_2449,3,4,3456,28,Mild
Bomdila Rural,Arunachal Pradesh,Arunachal Pradesh_District_1,2023-04-01,2023-01-16 17:04:00,0-5,Female,2,4,8,0,3,5,2,1,ASHA_3567,4,6,3711,23,Mild
Serchhip Village,Mizoram,Mizoram_District_3,2023-06-04,2023-04-06 07:25:00,19-60,Male,3,2,0,3,2,0,1,1,ASHA_4237,4,1,998,14,Mild
Kohima Rural,Nagaland,Nagaland_District_1,2024-03-10,2023-11-22 07:58:00,19-60,Female,7,5,2,1,1,0,0,1,ASHA_2016,0,2,1419,19,Moderate
Aizawl Rural,Mizoram,Mizoram_District_2,2023-06-06,2023-05-04 11:49:00,0-5,Female,2,1,0,0,2,2,2,1,ASHA_4646,3,0,916,16,Moderate
Resubelpara Rural,Meghalaya,Meghalaya_District_1,2023-05-20,2023-03-19 10:03:00,0-5,Male,9,2,4,3,3,1,4,2,ASHA_9098,1,1,2946,30,Mild
Aizawl Rural,Mizoram,Mizoram_District_2,2023-06-02,2023-05-13 11:20:00,0-5,Female,0,4,0,1,3,2,1,2,ASHA_2664,2,6,3572,13,Mild
Baghmara Rural,Meghalaya,Meghalaya_District_1,2023-04-19,2023-02-02 13:29:00,0-5,Male,6,2,6,2,3,1,4,1,ASHA_3135,0,3,3613,18,Moderate
Tawang Rural,Arunachal Pradesh,Arunachal Pradesh_District_2,2023-06-23,2023-06-18 10:58:00,6-18,Male,16,6,5,8,7,1,3,7,ASHA_6338,1,5,3474,44,Mild
