village,state,date,water_source_id,water_source_type,latitude,longitude,pH,turbidity_ntu,bacteria_ecoli_cfu_100ml,bacteria_coliform_cfu_100ml,dissolved_oxygen_mg_l,nitrates_mg_l,phosphates_mg_l,heavy_metals_mg_l,chlorine_residual_mg_l,fluoride_mg_l,arsenic_mg_l,test_method,testing_agency,is_potable,contamination_level,depth_meters
Ukhrul Village,Manipur,2023-04-12,WS_45155,Well,27.962966,92.079602,7.73,0.887,39.006,18.0,8.4,18.1,0.66,0.033,0.3,1.19,0.007,Water Testing Kit,Agency_6,1,Safe,194.0
Lawngtlai Village,Mizoram,2023-07-01,WS_62613,Tube Well,24.56463,94.352857,8.01,2.142,40.805,85.0,7.0,3.0,2.93,0.034,0.6,0.89,0.039,Lab Analysis,Agency_9,1,Safe,128.0
Silchar Village,Assam,2023-10-29,WS_71242,River,23.707609,96.051773,6.54,8.399,13.978,86.0,8.8,12.6,2.19,0.004,1.36,0.25,0.027,Water Testing Kit,Agency_7,0,Safe,
Lawngtlai Village,Mizoram,2023-07-16,WS_22129,River,23.410328,94.58828,6.94,8.441,1.129,88.0,6.6,17.3,1.42,0.049,0.74,0.21,0.02,Water Testing Kit,Agency_5,0,Safe,
Churachandpur Village,Manipur,2023-12-07,WS_11884,Tube Well,27.397162,88.522161,7.68,9.788,45.0,79.0,6.0,18.8,1.79,0.007,0.21,0.94,0.023,Lab Analysis,Agency_8,0,Safe,37.0
Tura Village,Meghalaya,2023-02-25,WS_19267,Pond,23.859882,96.98917,7.46,0.891,4.056,74.0,8.4,31.3,0.83,0.011,1.32,0.41,0.004,Water Testing Kit,Agency_1,1,Safe,
Roing Village,Arunachal Pradesh,2023-03-23,WS_66202,Tube Well,26.472722,90.960037,7.23,7.237,56.349,14.0,8.9,39.9,2.07,0.027,1.34,1.43,0.013,Lab Analysis,Agency_2,0,Safe,148.0
Wokha Rural,Nagaland,2023-11-25,WS_86381,Well,27.758034,95.405225,7.41,2.525,30.577,93.0,6.0,14.3,2.72,0.005,0.16,1.0,0.036,Lab Analysis,Agency_1,1,Safe,22.0
Tezpur Village,Arunachal Pradesh,2023-09-20,WS_36412,Piped Supply,28.398521,92.186518,7.12,2.438,17.223,38.0,6.0,10.2,1.18,0.043,0.19,0.5,0.031,IoT Sensor,Agency_6,1,Safe,
Resubelpara Rural,Meghalaya,2023-09-18,WS_23990,Tube Well,23.754942,90.728221,5.63,40.489,1009.489,4444.0,2.1,131.8,6.79,0.72,1.54,1.4,0.004,IoT Sensor,Agency_4,0,High,180.0
Bomdila Rural,Arunachal Pradesh,2023-05-03,WS_46033,River,25.547305,90.433716,7.82,2.214,55.814,41.0,5.3,24.5,1.88,0.048,1.94,0.05,0.028,Lab Analysis,Agency_8,1,Safe,
Gyalshing Rural,Sikkim,2023-11-11,WS_94130,Pond,24.931044,94.06045,5.3,49.766,163.714,1834.0,2.6,122.4,7.82,1.9,0.13,0.21,0.047,IoT Sensor,Agency_4,0,High,
Karimganj Village,Assam,2024-02-10,WS_46440,Tube Well,26.692949,95.44498,5.61,99.591,527.888,1354.0,2.7,68.3,11.73,1.08,0.52,1.18,0.021,Water Testing Kit,Agency_7,0,High,121.0
Tuensang Village,Nagaland,2023-10-16,WS_57352,Piped Supply,24.058364,93.543685,6.76,5.814,39.01,62.0,8.9,14.5,2.96,0.002,0.74,1.2,0.03,IoT Sensor,Agency_6,0,Safe,
Gangtok Rural,Sikkim,2024-03-15,WS_72091,Pond,23.48712,96.92201,8.16,7.506,29.988,41.0,6.6,2.3,1.82,0.04,0.0,0.99,0.031,Water Testing Kit,Agency_8,0,Safe,
Resubelpara Rural,Meghalaya,2023-05-28,WS_27137,Piped Supply,28.402855,92.861448,6.74,6.142,44.0,20.0,5.3,7.5,0.83,0.002,0.37,0.33,0.03,Lab Analysis,Agency_5,0,Safe,
Thoubal Village,Manipur,2024-02-29,WS_50102,Pond,24.618086,91.609568,5.6,72.139,1517.702,4800.0,1.4,142.5,5.61,1.33,1.03,0.91,0.015,IoT Sensor,Agency_4,0,High,
Pakyong Village,Sikkim,2023-12-09,WS_48570,Pond,26.625133,96.642993,7.58,1.764,44.583,52.0,7.1,2.6,0.24,0.048,0.22,0.46,0.015,Lab Analysis,Agency_6,1,Safe,
Barpeta Village,Assam,2023-02-07,WS_92451,River,26.343096,92.964173,5.3,83.376,1823.437,4070.0,3.2,120.0,5.75,1.1,0.04,1.16,0.046,IoT Sensor,Agency_1,0,High,
Jiribam Village,Manipur,2023-12-02,WS_32322,Pond,28.331415,93.238531,5.3,33.272,2404.66,3944.0,1.9,128.0,22.1,1.87,1.95,0.42,0.002,IoT Sensor,Agency_4,0,High,
Tezpur Village,Arunachal Pradesh,2023-10-06,WS_93233,Well,24.693844,93.44386,6.75,9.557,25.068,17.0,8.3,20.5,1.17,0.016,0.49,1.34,0.004,IoT Sensor,Agency_4,0,Safe,195.0
Tura Village,Meghalaya,2024-01-19,WS_96742,Piped Supply,23.305593,94.183424,7.71,4.782,55.01,71.0,8.3,24.0,1.63,0.043,0.77,1.16,0.047,IoT Sensor,Agency_4,1,Safe,
Williamnagar Village,Meghalaya,2023-11-13,WS_49689,River,23.112379,94.603222,5.6,72.622,1549.243,2733.0,2.4,186.6,10.36,0.92,1.66,0.49,0.05,IoT Sensor,Agency_9,0,High,
Saitual Rural,Mizoram,2023-11-27,WS_45504,Piped Supply,27.20545,90.91715,8.17,3.764,8.001,9.0,5.1,35.9,2.65,0.024,0.32,0.65,0.035,Water Testing Kit,Agency_8,1,Safe,
Karimganj Village,Assam,2023-05-20,WS_71016,Well,24.459818,96.546788,6.68,6.442,51.818,17.0,6.0,38.6,1.76,0.029,1.45,0.14,0.011,Water Testing Kit,Agency_6,0,Safe,50.0
Dimapur Village,Nagaland,2023-01-07,WS_66370,River,28.742062,91.818398,6.7,6.216,31.893,17.0,5.5,31.2,1.02,0.05,0.89,1.11,0.025,Lab Analysis,Agency_3,0,Safe,
Tura Village,Meghalaya,2023-12-21,WS_34881,River,23.481149,89.340111,6.37,7.471,41.204,46.0,5.6,8.0,1.99,0.047,1.85,0.58,0.038,Water Testing Kit,Agency_6,0,Safe,
Pasighat Rural,Arunachal Pradesh,2024-01-20,WS_94428,Pond,27.697486,92.697917,5.61,43.855,1160.768,2564.0,3.8,196.6,9.94,0.35,1.87,0.96,0.024,IoT Sensor,Agency_9,0,High,
Ukhrul Village,Manipur,2023-11-20,WS_41437,Pond,27.274665,89.206882,5.3,93.084,579.629,3917.0,3.8,91.4,19.08,1.25,1.48,0.73,0.043,IoT Sensor,Agency_8,0,High,
Imphal Rural,Manipur,2023-06-07,WS_38901,Pond,25.129892,89.896057,5.87,26.997,1915.586,4238.0,1.7,154.7,6.08,1.01,0.43,0.58,0.034,Lab Analysis,Agency_8,0,High,
Nongpoh Village,Meghalaya,2023-07-01,WS_96083,Well,24.499531,94.249255,5.3,116.607,2098.967,3963.0,2.0,143.4,19.16,0.72,1.64,1.45,0.031,Water Testing Kit,Agency_8,0,High,111.0
Pakyong Village,Sikkim,2023-10-10,WS_63404,Tube Well,28.175463,93.836141,7.37,4.038,7.043,58.0,5.3,20.1,1.7,0.011,0.87,0.25,0.04,Water Testing Kit,Agency_8,1,Safe,184.0
Teliamura Rural,Tripura,2023-06-29,WS_40108,Well,25.911223,94.67525,7.81,1.831,56.372,74.0,7.2,33.2,0.95,0.01,1.93,1.27,0.045,Lab Analysis,Agency_9,1,Safe,64.0
Mokokchung Rural,Nagaland,2024-04-11,WS_67827,Tube Well,24.633113,95.239644,5.92,94.999,1809.108,2531.0,1.7,140.1,24.33,0.28,0.17,1.07,0.001,IoT Sensor,Agency_6,0,High,198.0
Teliamura Rural,Tripura,2023-11-12,WS_92466,Well,28.72226,92.919546,8.16,4.988,40.718,59.0,6.8,6.6,0.61,0.016,1.12,1.46,0.046,IoT Sensor,Agency_5,1,Safe,85.0
Shillong Rural,Meghalaya,2023-02-19,WS_22689,Piped Supply,27.071716,96.114438,8.9,3.877,28.506,52.0,7.3,24.2,2.46,0.042,0.24,0.01,0.008,IoT Sensor,Agency_6,1,Safe,
Wokha Rural,Nagaland,2023-02-03,WS_26273,Spring,28.450647,96.742669,6.92,7.505,0.0,28.0,5.4,19.1,1.91,0.009,1.77,0.17,0.022,IoT Sensor,Agency_4,0,Safe,
Belonia Rural,Tripura,2023-12-26,WS_58418,Well,26.142392,94.005864,7.73,5.732,54.591,100.0,7.5,9.9,1.72,0.012,0.88,0.28,0.025,IoT Sensor,Agency_3,0,Safe,181.0
Tura Village,Meghalaya,2023-07-28,WS_48123,Pond,23.462522,93.720626,7.21,7.421,63.505,53.0,8.4,17.0,1.09,0.04,1.88,0.68,0.021,IoT Sensor,Agency_5,0,Safe,
Namchi Village,Sikkim,2024-03-17,WS_13377,River,26.98897,94.792595,6.65,64.998,495.683,2706.0,2.6,84.4,7.84,0.37,1.98,0.69,0.013,Lab Analysis,Agency_6,0,High,
Udaipur Village,Tripura,2023-07-05,WS_99151,Piped Supply,25.204808,94.99877,7.72,0.243,15.938,3.0,6.8,32.5,2.81,0.001,0.58,0.26,0.022,Water Testing Kit,Agency_9,1,Safe,
Tamenglong Rural,Manipur,2023-05-06,WS_66963,River,24.962634,90.968434,6.16,107.65,1138.525,3367.0,2.5,76.4,12.52,1.72,1.74,0.09,0.01,Water Testing Kit,Agency_7,0,High,
Gangtok Rural,Sikkim,2023-08-08,WS_36639,Pond,24.647761,95.147372,5.51,34.464,1728.637,1048.0,2.6,170.7,14.67,1.79,0.45,1.21,0.006,Water Testing Kit,Agency_8,0,High,
Resubelpara Rural,Meghalaya,2023-06-06,WS_10914,Tube Well,25.571227,96.667699,7.16,3.813,48.734,82.0,8.6,38.2,0.99,0.03,1.56,0.62,0.045,Water Testing Kit,Agency_7,1,Safe,149.0
Tuensang Village,Nagaland,2024-03-15,WS_34892,Well,24.053965,95.346497,7.18,8.031,62.293,76.0,7.5,36.0,0.46,0.019,1.6,0.55,0.036,IoT Sensor,Agency_6,0,Safe,172.0
Tawang Rural,Arunachal Pradesh,2023-05-28,WS_62689,Well,26.915222,88.03775,8.07,5.015,55.438,98.0,6.4,25.9,2.54,0.014,0.9,1.39,0.045,Water Testing Kit,Agency_7,1,Safe,98.0
Karimganj Village,Assam,2023-05-26,WS_47865,River,28.386568,91.813416,6.15,43.619,2107.562,4562.0,3.2,152.0,6.01,0.49,1.15,1.37,0.042,Water Testing Kit,Agency_6,0,High,
Resubelpara Rural,Meghalaya,2023-08-26,WS_17334,River,27.477313,88.446313,5.98,55.114,1743.198,2363.0,3.6,125.1,10.56,1.47,1.66,0.72,0.007,Water Testing Kit,Agency_7,0,High,
Agartala Rural,Tripura,2023-06-07,WS_78438,Piped Supply,27.260272,90.685085,7.63,0.784,50.997,8.0,8.9,16.7,2.08,0.024,0.35,1.42,0.022,IoT Sensor,Agency_7,1,Safe,
Roing Village,Arunachal Pradesh,2024-01-12,WS_35888,Pond,26.506505,93.680765,8.59,6.298,44.718,35.0,5.6,30.9,1.91,0.013,0.87,0.66,0.031,Lab Analysis,Agency_7,0,Safe,
Williamnagar Village,Meghalaya,2023-07-30,WS_29287,River,27.258192,94.074048,7.92,7.827,22.525,71.0,6.9,26.9,1.31,0.007,0.8,0.27,0.024,Lab Analysis,Agency_6,0,Safe,
Guwahati Rural,Assam,2024-02-25,WS_94376,River,23.621002,93.349082,7.64,2.731,6.593,86.0,7.6,6.8,0.89,0.039,0.51,0.1,0.007,Water Testing Kit,Agency_7,1,Safe,
Tura Village,Meghalaya,2023-03-19,WS_41374,Spring,25.559709,95.418461,8.74,0.499,42.348,91.0,7.7,30.4,0.61,0.043,0.93,1.23,0.024,Lab Analysis,Agency_3,1,Safe,
Champhai Rural,Mizoram,2023-04-18,WS_59539,Tube Well,27.772721,92.876515,5.83,39.556,437.782,2095.0,2.7,174.1,17.69,1.03,0.88,0.4,0.027,IoT Sensor,Agency_5,0,High,54.0
Singtam Village,Sikkim,2023-09-24,WS_41578,River,26.772643,95.3751,5.34,98.572,338.136,681.0,1.2,68.0,17.29,1.76,0.76,1.27,0.036,Water Testing Kit,Agency_9,0,High,
Tamenglong Rural,Manipur,2024-02-09,WS_52528,Well,28.641074,88.160597,8.41,1.124,50.036,27.0,6.1,24.5,2.78,0.012,0.32,1.46,0.013,Lab Analysis,Agency_8,1,Safe,23.0
Gyalshing Rural,Sikkim,2023-01-20,WS_51637,Pond,28.352481,96.185597,8.25,7.617,54.806,17.0,6.5,32.1,2.15,0.015,0.03,0.49,0.02,IoT Sensor,Agency_2,0,Safe,
Itanagar Rural,Arunachal Pradesh,2023-10-23,WS_46310,Pond,24.483897,92.256611,7.29,9.965,51.732,25.0,7.8,18.1,1.74,0.026,0.13,1.29,0.044,Lab Analysis,Agency_8,0,Safe,
Resubelpara Rural,Meghalaya,2023-08-12,WS_38871,Well,28.060646,90.042482,5.3,80.417,807.876,297.0,2.0,174.8,9.95,1.3,1.02,0.98,0.003,Water Testing Kit,Agency_9,0,High,151.0
Nongpoh Village,Meghalaya,2023-12-27,WS_49604,Piped Supply,26.17268,93.444995,7.51,4.65,18.959,19.0,5.8,38.3,1.45,0.024,0.58,1.25,0.048,IoT Sensor,Agency_6,1,Safe,
Baghmara Rural,Meghalaya,2023-08-11,WS_20176,Pond,23.034464,93.87461,5.48,105.44,1283.073,1983.0,2.1,182.9,12.7,1.59,0.5,1.01,0.009,IoT Sensor,Agency_2,0,High,
Zunheboto Village,Nagaland,2023-09-05,WS_13262,Well,23.320339,93.558177,5.3,111.217,2686.375,1736.0,1.1,79.3,22.54,0.99,0.87,0.74,0.047,Lab Analysis,Agency_7,0,High,160.0
Barpeta Village,Assam,2023-10-26,WS_97085,Well,24.354122,91.541612,6.69,3.209,60.765,31.0,6.5,8.2,0.23,0.005,0.22,1.12,0.049,Water Testing Kit,Agency_2,1,Safe,27.0
Ziro Village,Arunachal Pradesh,2023-05-15,WS_32517,Tube Well,25.917611,93.397102,8.81,8.018,10.471,67.0,7.6,5.0,0.27,0.028,1.69,0.5,0.009,Water Testing Kit,Agency_5,0,Safe,118.0
Nagaon Rural,Assam,2023-12-04,WS_44515,Tube Well,27.766197,93.961322,7.56,4.441,6.205,9.0,8.0,26.3,1.47,0.002,1.47,0.17,0.016,IoT Sensor,Agency_2,1,Safe,168.0
Belonia Rural,Tripura,2023-06-22,WS_46450,River,28.210962,89.668976,7.52,3.287,38.708,13.0,7.9,26.1,1.46,0.006,1.99,0.84,0.007,IoT Sensor,Agency_1,1,Safe,
Lunglei Village,Mizoram,2024-03-11,WS_91456,Tube Well,26.932724,92.465974,6.57,4.784,49.666,59.0,8.0,43.3,0.74,0.049,1.09,0.29,0.015,IoT Sensor,Agency_2,1,Safe,191.0
Senapati Rural,Manipur,2023-05-24,WS_39418,River,28.681574,88.184296,7.39,2.841,26.764,47.0,7.4,5.9,2.29,0.034,1.62,0.77,0.031,IoT Sensor,Agency_4,1,Safe,
Kolasib Rural,Mizoram,2024-01-09,WS_26731,River,25.266434,89.332528,5.78,111.191,2113.644,1952.0,3.1,119.2,23.57,1.27,0.55,0.5,0.008,Water Testing Kit,Agency_4,0,High,
Tezpur Village,Arunachal Pradesh,2024-02-11,WS_81699,River,24.429662,93.594492,6.28,7.755,17.299,96.0,5.3,37.7,1.6,0.01,1.35,0.16,0.036,Water Testing Kit,Agency_3,0,Safe,
Ziro Village,Arunachal Pradesh,2024-01-14,WS_71421,River,26.763299,95.354364,7.71,7.93,32.382,76.0,8.2,30.7,3.0,0.004,1.3,0.41,0.015,Lab Analysis,Agency_8,0,Safe,
Khowai Village,Tripura,2024-01-12,WS_19974,River,26.885476,88.604603,7.1,3.244,43.308,56.0,5.2,22.9,2.87,0.005,1.84,1.28,0.001,IoT Sensor,Agency_5,1,Safe,
Agartala Rural,Tripura,2023-05-01,WS_43911,Well,24.506715,95.389837,5.3,36.809,1538.523,3265.0,1.4,158.7,11.98,0.97,0.31,0.82,0.02,IoT Sensor,Agency_8,0,High,176.0
Jowai Rural,Meghalaya,2023-10-03,WS_81968,Pond,27.156156,91.369013,5.3,37.881,459.247,3292.0,1.8,164.0,20.22,1.59,1.47,0.61,0.004,IoT Sensor,Agency_5,0,High,
Karimganj Village,Assam,2023-06-22,WS_46850,Pond,26.255142,94.601757,5.3,94.905,2267.783,1418.0,2.7,50.1,10.57,0.45,1.64,1.17,0.042,IoT Sensor,Agency_2,0,High,
Jorhat Village,Assam,2023-05-03,WS_69367,Tube Well,23.274116,92.098218,7.35,9.126,68.823,55.0,7.5,26.0,0.05,0.027,0.61,1.16,0.024,IoT Sensor,Agency_7,0,Safe,165.0
Tura Village,Meghalaya,2024-04-04,WS_48667,Spring,24.419197,96.132885,8.6,9.953,27.199,19.0,8.7,38.2,0.54,0.008,1.89,0.36,0.02,Lab Analysis,Agency_2,0,Safe,
Bishnupur Rural,Manipur,2023-09-17,WS_23892,Piped Supply,25.454003,90.287704,8.37,0.226,50.033,57.0,6.9,6.6,0.7,0.039,1.45,0.77,0.006,IoT Sensor,Agency_1,1,Safe,
Resubelpara Rural,Meghalaya,2023-07-11,WS_45427,River,28.454291,96.256125,6.78,9.117,42.097,85.0,8.2,16.8,0.3,0.046,0.53,0.13,0.0,IoT Sensor,Agency_9,0,Safe,
Naharlagun Village,Arunachal Pradesh,2023-11-25,WS_53493,Piped Supply,23.274454,89.289385,7.56,6.29,26.88,68.0,5.9,38.4,2.55,0.025,1.43,0.21,0.021,Water Testing Kit,Agency_7,0,Safe,
Tezpur Rural,Assam,2024-01-12,WS_93519,Well,24.948616,91.618015,7.74,0.506,21.359,37.0,8.5,3.9,2.31,0.049,1.57,1.39,0.022,IoT Sensor,Agency_3,1,Safe,64.0
Mangan Village,Sikkim,2023-11-23,WS_59718,River,25.380433,90.553177,5.32,47.629,1818.998,274.0,2.6,58.7,19.48,1.93,0.96,0.24,0.02,IoT Sensor,Agency_5,0,High,
Imphal Rural,Manipur,2023-06-16,WS_52169,Pond,28.23559,94.226418,5.45,78.538,1064.063,1746.0,2.7,106.0,5.69,0.89,0.76,1.48,0.018,IoT Sensor,Agency_7,0,High,
Ukhrul Village,Manipur,2023-11-13,WS_32660,River,26.197249,90.453003,7.94,0.539,39.838,50.0,6.3,31.0,0.75,0.032,0.4,0.57,0.049,Water Testing Kit,Agency_8,1,Safe,
Serchhip Village,Mizoram,2023-07-26,WS_48253,Tube Well,28.528333,91.065554,8.16,5.415,14.35,87.0,8.2,17.9,2.53,0.0,1.32,0.93,0.024,Water Testing Kit,Agency_6,1,Safe,197.0
Jorhat Village,Assam,2023-07-07,WS_69367,Tube Well,23.274116,92.098218,7.16,8.188,54.859,55.0,7.5,26.0,0.05,0.027,0.61,1.16,0.024,IoT Sensor,Agency_7,0,Safe,165.0
Singtam Village,Sikkim,2023-05-24,WS_45196,Piped Supply,28.787984,93.982706,6.73,6.331,33.359,15.0,7.6,36.0,0.49,0.04,0.8,0.83,0.037,IoT Sensor,Agency_6,0,Safe,
Pakyong Village,Sikkim,2023-05-10,WS_81714,Pond,28.896711,88.476916,6.23,49.668,2003.428,1306.0,3.2,84.8,17.75,0.94,1.09,1.28,0.031,Water Testing Kit,Agency_5,0,High,
Amarpur Village,Tripura,2023-03-23,WS_90401,Pond,28.738358,90.741224,8.57,6.731,43.44,71.0,6.9,28.3,0.21,0.025,1.69,1.08,0.041,IoT Sensor,Agency_5,0,Safe,
Jowai Rural,Meghalaya,2023-03-20,WS_82590,River,26.847577,92.252213,5.55,88.904,565.11,2531.0,1.4,176.4,21.38,1.38,1.43,1.35,0.003,Lab Analysis,Agency_4,0,High,
Senapati Rural,Manipur,2023-06-24,WS_13229,Piped Supply,25.256453,95.734238,6.79,5.751,9.539,50.0,6.4,9.1,2.84,0.048,0.06,0.94,0.0,Water Testing Kit,Agency_9,0,Safe,
Dimapur Village,Nagaland,2023-10-12,WS_50920,Tube Well,26.352943,90.468691,6.64,52.508,482.053,2032.0,1.0,66.3,14.92,1.89,1.19,0.84,0.034,Water Testing Kit,Agency_6,0,High,162.0
Pasighat Rural,Arunachal Pradesh,2023-11-26,WS_79772,River,25.526759,95.609807,6.42,38.735,1224.262,2529.0,2.8,151.7,7.59,1.52,1.6,0.76,0.021,IoT Sensor,Agency_4,0,High,
Saitual Rural,Mizoram,2023-08-16,WS_21586,Well,28.939224,90.526613,7.37,5.662,60.809,27.0,7.4,0.1,1.41,0.02,0.32,1.17,0.042,IoT Sensor,Agency_6,0,Safe,51.0
Mokokchung Rural,Nagaland,2023-05-13,WS_52849,Well,26.426433,91.690196,7.13,9.039,18.716,29.0,8.8,24.9,1.84,0.045,0.33,0.18,0.036,IoT Sensor,Agency_9,0,Safe,19.0
Dimapur Village,Nagaland,2023-06-21,WS_88254,River,27.191934,88.896952,7.92,5.146,39.562,40.0,7.9,21.0,0.67,0.041,1.47,0.22,0.008,Water Testing Kit,Agency_7,1,Safe,
Pasighat Rural,Arunachal Pradesh,2023-02-05,WS_97139,Well,27.710046,90.479429,7.98,7.221,56.341,40.0,9.0,16.5,2.42,0.018,1.45,0.09,0.038,IoT Sensor,Agency_6,0,Safe,157.0
Silchar Village,Assam,2024-01-19,WS_84252,River,27.157544,92.058786,5.3,47.1,2210.409,1015.0,1.2,101.4,7.78,1.22,0.16,1.26,0.028,Water Testing Kit,Agency_3,0,High,
Kiphire Village,Nagaland,2023-10-19,WS_15536,Pond,27.061891,92.434086,6.2,40.059,2185.671,4294.0,2.0,81.6,13.53,1.87,0.78,0.52,0.029,Lab Analysis,Agency_6,0,High,
Tezpur Village,Arunachal Pradesh,2023-11-24,WS_81699,River,24.429662,93.594492,6.48,7.225,14.904,96.0,5.3,37.7,1.6,0.01,1.35,0.16,0.036,Water Testing Kit,Agency_3,0,Safe,
Tamenglong Rural,Manipur,2023-10-15,WS_22085,Tube Well,25.431662,94.543518,8.26,1.558,5.509,56.0,8.2,13.1,0.72,0.026,1.23,0.73,0.036,Water Testing Kit,Agency_5,1,Safe,177.0
